st_gene_id	gene_id	gene_symbol	read_count_BN5_1_1	read_count_BN5_1_2	read_count_BN5_2_1	read_count_BN5_2_2	read_count_N5_1_1	read_count_N5_1_2	read_count_ctrl_2_1	read_count_ctrl_2_2
G10090_32561	20115	Rps7	44304	36997	23878	26509	30889	33469	58457	61308
G10090_22848	74484	Rbm31y	0	0	0.5	1	0	0	0	0
G10090_15366	20501	Slc16a1	2877	2442	1846	2269	1788	1858	1781	1400
G10090_11692	12428	Ccna2	910.07	697.04	114.14	142.4	1427.07	1460.49	67.54	86.53
G10090_17909	57249	Gabrq	0	0	0	0	0	0	0	0
G10090_20425	406220	Krt77	0	0	0	0	1	0	0	0
G10090_14637	171285	Havcr2	39.91	70.89	46.06	53.7	188.3	200.36	35.89	23.03
G10090_8365	225058	Gm4832	8.53	8.64	3.21	3.08	2.68	4.02	7.18	5.27
G10090_15380	52430	Echdc2	2	3.02	0	2	51	57	7.04	7
G10090_30608	332397	Nanos1	100	80	66	105	328	359	289	284
G10090_11099	15465	Hrh1	0	0	0	0	0	1	0	1
G10090_10411	14633	Gli2	0	0	0	0	0	0	0	1
G10090_2123	74486	Osbpl10	0	0	1	0	0	3	0	2
G10090_8180	22329	Vcam1	70	44	152	107	157	137	209	135
G10090_1701	19893	Rpgr	110	57	42	54	82	93	59	55
G10090_30770	56389	Stx5a	1754	1581	1497	1957	1668	1839	1694	1730
G10090_9804	19265	Ptprcap	9368	8533	5621	6445	7059	8403	4803	4979
G10090_14640	12143	Blk	8	2	2	3	70	66	1	2
G10090_8650	64435	Fcamr	13.16	3.89	4.86	10.9	13.84	3.41	6.04	3.92
G10090_10908	241158	Ankmy1	10	10	7	3	5	4	21	13
G10090_4131	246694	Hps5	827.01	816.31	801.72	1140.25	799.4	806.97	865.09	949.74
G10090_20925	246256	Fcgr4	36	25	96	48	59	80	75	76
G10090_10288	18569	Pdcd4	6118.35	4859.12	6749.39	7337.83	5539.46	5513.23	7887.87	6743.33
G10090_5371	64424	Polr1e	533.51	471.88	308.38	325.4	456.12	544.08	457.29	472.73
G10090_301	77128	Crebrf	1152	964	1383	1604	644	612	790	717
G10090_4235	70584	Pak4	256.01	195.99	151	181	186	220.99	162	136
G10090_16837	22375	Wars	1602	1530	940	1023	1438	1547	1671	1285
G10090_18285	317750	Slc24a5	8.41	0	0	0	0	0	0	0
G10090_9713	63993	Slc5a7	0	1	9	6	0	0	6	2
G10090_14887	18605	Enpp1	1034	977	1035	1362	701	642	414	531
G10090_668	77422	C330018D20Rik	164	150	152	148	142	168	121	127
G10090_24476	18655	Pgk1	5536	4654	1632	1920	9210	9714	2800	2890
G10090_687	23947	Mid2	163.57	181.22	219.55	228.93	498.11	433.23	2	2
G10090_4465	320438	Alg6	128.12	131.99	91.88	98.98	169.12	164.6	64.6	60.65
G10090_4126	72500	Ier5l	18	31	11	9	511	650	274	128
G10090_29534	71764	C2cd2l	603	450	526	598	626	639	636	574
G10090_4564	56874	Rnf32	1	1	4	0	12	6	45	26
G10090_2659	432600	Gm11568	0	0	0	0	1	0	0	0
G10090_16218	232798	Leng8	3444	3655	4006	5491	2809	2818	4126	3794
G10090_28327	107271	Yars	824	732	493	554	875	878	478	518
G10090_10057	56198	Heyl	0	0	0	0	3	2	0	1
G10090_15361	239554	Foxred2	128.98	136.74	127.99	135.91	236.86	237.07	229.86	159.49
G10090_20841	102641028	LOC102641028	10	2.35	11	11	5	5	8.63	10.58
G10090_31012	66074	Tmem167	1021.28	1003.11	719	775.33	1001	942.88	588.24	583.37
G10090_23832	13850	Ephx2	1	0	0	3	2	0	0.96	2
G10090_33740	108755	Lyrm2	243.92	246.43	129.99	181.98	249.14	288.03	157.02	159.85
G10090_9323	78390	Pla2g4d	0	0	0	0	0	1	0	0
G10090_4969	105014	Rdh14	193	176	166	144	149	175	134	136
G10090_15347	368202	Prss48	4.65	9.65	9.46	8.2	7.79	5.62	14.08	12.72
G10090_8049	223922	Atf7	989.99	911.28	966	1321.38	760	726	975.15	918.07
G10090_5532	28006	Washc2	1873	1687	1280	1958	1841	1751	2105	2233
