gene_id,SRR17133380,SRR17133381,SRR17133382,SRR17133383,SRR17133384,SRR17133385,SRR17133386,SRR17133387
0610005C13Rik,0.0295927,0.117444,0.283706,0.0481754,0.369603,0.154094,0.30549380000000004,0.0
0610006L08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610009B22Rik,2.117184,2.27899,4.728143,5.66974,7.978899999999999,7.39976,8.20006,7.62963
0610009E02Rik,0.983703,1.0778619,0.15199143176000002,16.855668,2.7810710000000003,3.14608,1.72515,0.051191
0610009L18Rik,2.603666,2.331699,2.149078,2.388103,2.515714,2.970849,3.337223,3.505813
0610010K14Rik,89.861105028931,85.000480344266,112.034489988778,118.14883255505549,134.22750914,135.60778,119.90256318113,119.66834234810194
0610012D04Rik,0.0,0.0,0.339515,0.408495,0.0,0.0,0.733702,0.461993
0610012G03Rik,19.9103,20.0503,15.1183,13.04,15.3434,16.7989,18.7961,15.6318
0610025J13Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610030E20Rik,6.190214,6.9645357,10.867730398148,8.621151003474601,12.40521,10.979917,8.948433,9.7076086
0610031O16Rik,0.0491259,0.0,0.25254,0.30385,0.7611476,1.436517,0.407659,0.1683356
0610033M10Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610038B21Rik,0.338313,1.3479878,0.906119,0.5439067,1.459134370064,1.2928141,1.04316,1.6200862
0610039K10Rik,0.538675,0.3218127,1.763906,0.667573,0.551604,0.2384461,0.3230494,0.5092759
0610040B10Rik,0.780573,0.46225185999999996,0.4522772,0.4794509,2.840076,2.7138828,1.4513086,0.843488
0610040F04Rik,0.0,0.0,0.2167512,0.123162,0.8607316,0.7489799,0.9017808,0.749767
0610040J01Rik,0.138425,0.0,0.0835355,0.2845301,0.157938,0.0,0.0722091,0.113671
0610043K17Rik,1.469214,1.0007679999999999,0.0,0.0,0.0,0.0,0.0,0.131375
0710001A04Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001B22Rik,0.0,0.515896,0.0,0.364619,0.760271,0.529803,0.557308,0.142659
1100001I12Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.227059,0.357433
1110002E22Rik,0.0,0.0,0.0,0.0101576,0.0,0.0,0.0,0.00765858
1110002J07Rik,0.0,0.0319477,0.075067,0.316115,0.257627,0.320162,0.421777,0.442638
1110002L01Rik,1.79498379,1.748122,3.6788944913457,2.758858,7.189105,7.62961351,3.589989920536,3.9692610000000004
