gene_id,SRR17133380,SRR17133381,SRR17133382,SRR17133383,SRR17133384,SRR17133385,SRR17133386,SRR17133387
0610005C13Rik,1.04108,1.01347,2.08385,1.1671,3.792624,5.26562,3.6177099999999998,0.0
0610006L08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610009B22Rik,25.0,25.0,45.00005,44.0,77.41329999999999,81.0,88.5755,78.5299
0610009E02Rik,19.99295,20.43404,1.0235390517,223.52656000000002,45.742180000000005,59.2295,28.851229999999997,1.0
0610009L18Rik,21.000030000000002,20.99995,15.0,13.0,19.99995,24.99995,28.00002,26.999989999999997
0610010K14Rik,780.875029197092,675.95015410771,766.95424896535,662.904216011485,921.1027213,1086.46767,952.3629921739,895.4793634123884
0610012D04Rik,0.0,0.0,2.0,2.0,0.0,0.0,5.0,3.0
0610012G03Rik,409.99,401.892,257.937,184.91,266.967,336.0,370.985,293.99
0610025J13Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610030E20Rik,347.013,382.80162600000006,527.96360478811,397.2151900730233,580.94444,611.56091,484.207,502.336809
0610031O16Rik,1.0,0.0,2.0,2.0,6.99999,20.84556,5.0000029999999995,2.0
0610033M10Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610038B21Rik,8.17414,18.48056,11.1052,8.320641,27.05858642985,30.22305,24.1585,31.34935
0610039K10Rik,7.16883,4.168792,19.44972,6.11798,6.20273,3.082231,4.120745,6.1899500000000005
0610040B10Rik,9.01934,8.016820899999999,9.50696,4.051880000000001,25.756149999999998,28.55519,17.326459,11.29122
0610040F04Rik,0.0,0.0,2.05957,2.10802,6.05647,6.0616900000000005,7.0592299999999994,5.0
0610040J01Rik,4.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0
0610043K17Rik,10.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
0710001A04Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001B22Rik,0.0,4.0,0.0,2.0,5.11697,4.09904,4.25493,1.03785
