target_id	length	eff_length	est_counts	tpm
ENSMUST00000132100.2	472	423	0	0
ENSMUST00000185910.2	269	220	2	0.634503
ENSMUST00000186289.2	216	167	0	0
ENSMUST00000188305.2	1102	1053	0	0
ENSMUST00000188753.2	612	563	0	0
ENSMUST00000187764.2	499	450	0	0
ENSMUST00000061280.17	5232	5183	1249.69	16.8285
ENSMUST00000182114.8	770	721	0	0
ENSMUST00000182306.2	419	370	0	0
ENSMUST00000182388.8	701	652	12.4836	1.33634
ENSMUST00000182675.8	1153	1104	0	0
ENSMUST00000182823.2	2659	2610	374.508	10.0149
ENSMUST00000182892.8	4207	4158	58.1448	0.976006
ENSMUST00000183204.2	3986	3937	13.1762	0.233587
ENSMUST00000181554.2	1193	1144	0	0
ENSMUST00000193106.6	256	207	1.448	0.48823
ENSMUST00000193428.2	2703	2654	0	0
ENSMUST00000193732.2	631	582	1.552	0.186121
ENSMUST00000194886.2	2596	2547	3.19558	0.0875682
ENSMUST00000027542.13	3390	3341	0	0
ENSMUST00000112701.8	4945	4896	0	0
ENSMUST00000129923.2	1409	1360	0	0
ENSMUST00000131464.8	4211	4162	0	0
ENSMUST00000134301.2	677	628	0	0
ENSMUST00000137092.8	2681	2632	0	0
ENSMUST00000145188.2	714	665	0	0
ENSMUST00000146282.3	4776	4727	0	0
ENSMUST00000172005.8	3353	3304	0	0
ENSMUST00000039725.12	7796	7747	106.215	0.956924
ENSMUST00000191680.2	738	689	31.5535	3.19635
ENSMUST00000192378.2	424	375	0	0
ENSMUST00000193610.2	517	468	0	0
ENSMUST00000193822.6	726	677	0	0
ENSMUST00000193858.2	600	551	0	0
ENSMUST00000194306.6	968	919	21.7205	1.64961
ENSMUST00000194636.2	739	690	13.5398	1.36959
ENSMUST00000194816.2	466	417	0	0
ENSMUST00000195196.6	488	439	0	0
ENSMUST00000194391.2	1329	1280	0	0
ENSMUST00000201297.2	1789	1740	0	0
ENSMUST00000076997.13	1921	1872	129.761	4.83798
ENSMUST00000126008.8	4620	4571	31.3343	0.478448
ENSMUST00000128261.2	449	400	0	0
ENSMUST00000134860.8	355	306	0	0
ENSMUST00000136179.8	896	847	0	0
ENSMUST00000136704.2	471	422	1.95316	0.323037
ENSMUST00000139451.8	854	805	20.9518	1.81656
ENSMUST00000153317.6	374	325	0	0
ENSMUST00000094626.5	3914	3865	0	0
ENSMUST00000187555.2	787	738	0	0
ENSMUST00000189363.2	581	532	0	0
ENSMUST00000035462.7	5759	5710	46.015	0.562457
ENSMUST00000186365.2	3063	3014	10.2438	0.237216
ENSMUST00000189370.2	622	573	1.74117	0.212086
ENSMUST00000189731.2	806	757	0	0
ENSMUST00000190085.2	571	522	0	0
ENSMUST00000180837.2	1009	960	0	0
ENSMUST00000037796.14	1539	1490	268.057	12.5565
ENSMUST00000113584.8	1692	1643	397.048	16.8668
ENSMUST00000124539.2	790	741	37.5006	3.53221
ENSMUST00000131545.8	798	749	0	0
ENSMUST00000132291.8	549	500	6.80431	0.949818
ENSMUST00000133418.8	918	869	0	0
ENSMUST00000135453.2	554	505	26.3277	3.63872
ENSMUST00000140287.8	828	779	51.3695	4.6025
ENSMUST00000141124.2	564	515	2.20618	0.298993
ENSMUST00000143730.8	650	601	0	0
ENSMUST00000144874.8	688	639	17.222	1.88108
ENSMUST00000145166.8	647	598	0	0
ENSMUST00000188097.2	776	727	42.4645	4.07678
ENSMUST00000065967.14	3557	3508	0	0
ENSMUST00000111166.2	1370	1321	0	0
ENSMUST00000111167.2	1861	1812	0	0
ENSMUST00000125404.8	3283	3234	0	0
ENSMUST00000144340.8	4215	4166	0	0
ENSMUST00000156184.2	3274	3225	0	0
ENSMUST00000104983.2	1338	1289	5.08268	0.275211
ENSMUST00000193484.2	3557	3508	0	0
ENSMUST00000194241.2	959	910	0	0
ENSMUST00000037708.10	2464	2415	0	0
ENSMUST00000113577.8	2667	2618	0	0
ENSMUST00000043725.9	10945	10896	0	0
ENSMUST00000115484.9	1107	1058	0	0
ENSMUST00000115488.3	1554	1505	0	0
ENSMUST00000126083.2	661	612	0	0
ENSMUST00000132064.8	4165	4116	0	0
ENSMUST00000134075.8	2944	2895	0	0
ENSMUST00000135046.4	578	529	0	0
ENSMUST00000140295.8	4887	4838	0	0
ENSMUST00000140302.8	4056	4007	0	0
ENSMUST00000144593.8	3497	3448	1	0.0202423
ENSMUST00000191683.6	4510	4461	0	0
ENSMUST00000194098.2	2113	2064	0	0
ENSMUST00000179777.3	3030	2981	0	0
ENSMUST00000204773.2	618	569	0	0
ENSMUST00000186341.2	673	624	0	0
ENSMUST00000188801.2	2879	2830	0	0
ENSMUST00000187455.2	1491	1442	0	0
ENSMUST00000191265.2	2630	2581	0	0
ENSMUST00000072079.9	2048	1999	773	26.9894
ENSMUST00000185381.2	1794	1745	0	0
ENSMUST00000186264.2	4012	3963	1	0.0176117
ENSMUST00000027623.9	7063	7014	1021.18	10.1617
ENSMUST00000186163.2	1059	1010	12.3256	0.851751
ENSMUST00000186608.7	2997	2948	712.443	16.8674
ENSMUST00000188512.7	656	607	237.082	27.2607
ENSMUST00000188882.2	465	416	115.645	19.4025
ENSMUST00000189768.7	617	568	0	0
ENSMUST00000027626.13	1889	1840	1116.38	42.347
ENSMUST00000112688.10	849	800	90.6154	7.90566
ENSMUST00000161495.2	357	308	0	0
ENSMUST00000190194.2	2166	2117	0	0
ENSMUST00000027044.15	2022	1973	5.03454	0.178098
ENSMUST00000130927.8	459	410	0	0
